product_id,seller_id,product_name,category,product_desc,price,original_price,discount_rate,quantity_stock,flash_sale_id
1,4,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,116.1,129.16,0.1,138,0
2,17,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,9.96,21.96,0.55,158,0
3,13,AirPods Pro,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,162.48,183.87,0.12,304,6
4,6,Jabra Elite 85h,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,94.37,115.53,0.18,340,0
5,10,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,168.58,286.7,0.41,256,0
6,15,MacBook Pro,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,156.95,377.01,0.58,332,0
7,3,AirPods Pro,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,304.64,331.67,0.08,21,0
8,9,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,288.94,347.81,0.17,124,0
9,13,Galaxy S21,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",47.84,56.33,0.15,230,5
10,6,1984,Books,An engaging and thought-provoking book that will captivate readers of all ages.,322.17,482.59,0.33,70,0
11,9,Zara Jacket,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,182.17,337.38,0.46,27,0
12,8,Barbie Dreamhouse,Toys,Fun and creative toys that inspire imagination and endless hours of play.,244.33,308.75,0.21,18,0
13,18,Hot Wheels Track,Toys,Fun and creative toys that inspire imagination and endless hours of play.,340.95,398.22,0.14,355,0
14,6,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",261.38,462.47,0.43,266,0
15,9,The Great Gatsby,Books,An engaging and thought-provoking book that will captivate readers of all ages.,42.47,95.26,0.55,65,0
16,13,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,170.56,306.24,0.44,127,8
17,7,Zara Jacket,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,132.01,194.68,0.32,306,7
18,14,LEGO Star Wars,Toys,Fun and creative toys that inspire imagination and endless hours of play.,15.29,23.6,0.35,125,3
19,15,Bose QC45,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,10.93,14.46,0.24,421,0
20,17,KitchenAid Mixer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,299.75,315.73,0.05,142,0
21,4,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",167.26,243.31,0.31,125,6
