product_id,seller_id,product_name,category,product_desc,price,original_price,discount_rate,quantity_stock,flash_sale_id
1,6,1984,Books,An engaging and thought-provoking book that will captivate readers of all ages.,196.57,401.68,0.51,322,0
2,87,Barbie Dreamhouse,Toys,Fun and creative toys that inspire imagination and endless hours of play.,206.45,489.3,0.58,312,0
3,33,AirPods Pro,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,292.19,343.45,0.15,300,0
4,61,Dell XPS 13,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,80.91,126.26,0.36,366,5
5,7,Puma RS-X,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,130.65,205.97,0.37,115,0
6,26,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,385.58,427.36,0.1,426,0
7,68,Uniqlo Hoodie,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,160.18,316.93,0.49,130,0
8,45,Nerf Blaster,Toys,Fun and creative toys that inspire imagination and endless hours of play.,186.8,374.6,0.5,439,18
9,82,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,152.38,194.1,0.21,473,39
10,95,Levi's Jeans,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,284.16,319.28,0.11,360,44
11,27,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,209.4,455.16,0.54,27,9
12,2,Fossil Gen 6,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,168.43,229.51,0.27,477,0
13,57,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",105.85,217.2,0.51,167,0
14,7,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,296.55,337.04,0.12,144,39
15,3,Jabra Elite 85h,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,147.37,186.03,0.21,366,26
16,31,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,165.35,198.1,0.17,104,0
17,48,The Catcher in the Rye,Books,An engaging and thought-provoking book that will captivate readers of all ages.,352.07,488.66,0.28,147,0
18,14,Sony WH-1000XM4,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,84.51,147.83,0.43,7,0
19,77,LEGO Star Wars,Toys,Fun and creative toys that inspire imagination and endless hours of play.,191.74,244.92,0.22,399,0
20,54,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",332.86,409.21,0.19,299,0
21,10,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,135.72,291.95,0.54,464,0
22,56,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",227.8,431.44,0.47,57,31
23,71,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",224.33,484.82,0.54,179,41
24,73,Apple Watch Series 8,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,220.65,276.55,0.2,190,0
25,29,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,200.92,376.02,0.47,340,31
26,22,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,186.45,220.94,0.16,340,41
27,78,Reebok Nano X,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,365.01,436.94,0.16,195,0
28,70,Zara Jacket,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,134.24,255.26,0.47,85,0
29,6,The Catcher in the Rye,Books,An engaging and thought-provoking book that will captivate readers of all ages.,91.05,221.4,0.59,457,0
30,53,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,253.43,494.06,0.49,385,0
31,73,Apple Watch Series 8,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,67.44,147.1,0.54,279,18
32,93,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",82.12,133.84,0.39,65,18
33,72,Nerf Blaster,Toys,Fun and creative toys that inspire imagination and endless hours of play.,22.56,48.92,0.54,219,22
34,18,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,104.13,133.76,0.22,148,48
35,9,AirPods Pro,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,20.09,25.25,0.2,459,0
36,25,Levi's Jeans,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,38.96,63.23,0.38,127,0
37,77,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,269.3,292.3,0.08,187,44
38,44,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,197.87,314.51,0.37,298,10
39,24,HP Spectre,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,144.19,338.94,0.57,333,22
40,65,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,284.6,355.34,0.2,69,14
41,68,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,209.34,340.83,0.39,338,12
42,45,Dell XPS 13,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,76.75,89.0,0.14,376,10
43,33,Dell XPS 13,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,227.61,246.62,0.08,106,37
44,88,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,205.6,242.78,0.15,374,49
45,65,KitchenAid Mixer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,268.55,376.01,0.29,404,17
46,73,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,134.15,216.22,0.38,408,0
47,56,Nerf Blaster,Toys,Fun and creative toys that inspire imagination and endless hours of play.,176.06,356.01,0.51,91,0
48,94,LEGO Star Wars,Toys,Fun and creative toys that inspire imagination and endless hours of play.,155.73,171.69,0.09,437,3
49,86,Nike Air Max,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,174.26,292.2,0.4,294,16
50,77,Hot Wheels Track,Toys,Fun and creative toys that inspire imagination and endless hours of play.,16.47,34.84,0.53,269,18
51,60,Hot Wheels Track,Toys,Fun and creative toys that inspire imagination and endless hours of play.,154.84,180.05,0.14,490,24
52,67,The Great Gatsby,Books,An engaging and thought-provoking book that will captivate readers of all ages.,241.72,371.22,0.35,493,0
53,54,Zara Jacket,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,180.98,192.31,0.06,475,38
54,13,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",186.9,351.37,0.47,259,26
55,41,Uniqlo Hoodie,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,17.35,23.84,0.27,133,12
56,92,Apple Watch Series 8,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,31.73,43.78,0.28,51,0
57,77,Levi's Jeans,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,314.79,437.98,0.28,230,0
58,14,Uniqlo Hoodie,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,132.25,188.5,0.3,206,0
59,57,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,55.63,92.89,0.4,231,48
60,74,Nike Air Max,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,143.38,232.91,0.38,401,0
61,89,HP Spectre,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,252.17,460.16,0.45,373,0
62,19,Galaxy S21,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",213.96,250.26,0.15,192,5
63,45,Samsung Galaxy Watch,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,180.42,288.49,0.37,486,0
64,26,Ninja Blender,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,170.42,207.92,0.18,60,0
65,31,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,445.89,496.25,0.1,330,0
66,95,1984,Books,An engaging and thought-provoking book that will captivate readers of all ages.,52.45,89.73,0.42,485,8
67,84,1984,Books,An engaging and thought-provoking book that will captivate readers of all ages.,132.62,147.73,0.1,134,0
68,98,KitchenAid Mixer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,235.48,317.33,0.26,87,35
69,91,Fossil Gen 6,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,220.13,266.66,0.17,162,0
70,79,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,196.03,245.17,0.2,201,0
71,51,1984,Books,An engaging and thought-provoking book that will captivate readers of all ages.,242.38,294.72,0.18,227,21
72,24,Garmin Fenix 7,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,87.33,101.65,0.14,125,0
73,11,Barbie Dreamhouse,Toys,Fun and creative toys that inspire imagination and endless hours of play.,278.68,435.65,0.36,24,31
74,65,AirPods Pro,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,60.41,116.17,0.48,497,0
75,56,Fossil Gen 6,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,147.73,172.31,0.14,325,37
76,40,Ikea Sofa,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,9.38,10.4,0.1,370,0
77,54,Jabra Elite 85h,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,440.84,492.94,0.11,464,0
78,3,Reebok Nano X,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,405.65,439.18,0.08,113,0
79,29,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,426.93,454.91,0.06,476,0
80,73,LEGO Star Wars,Toys,Fun and creative toys that inspire imagination and endless hours of play.,241.69,458.07,0.47,395,49
81,29,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,317.93,384.71,0.17,220,0
82,57,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,97.02,207.75,0.53,78,16
83,93,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",199.33,258.98,0.23,219,3
84,40,Galaxy S21,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",201.47,431.13,0.53,164,19
85,94,Ninja Blender,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,175.26,229.34,0.24,465,0
86,90,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,79.69,111.62,0.29,387,0
87,50,OnePlus 11,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",178.89,251.69,0.29,5,0
88,41,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,174.52,378.31,0.54,213,3
89,54,Samsung Galaxy Watch,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,173.71,292.93,0.41,357,0
90,25,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",46.91,53.41,0.12,75,30
91,46,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,154.97,278.25,0.44,367,0
92,38,Nike Air Max,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,349.35,438.01,0.2,132,2
93,54,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,243.13,494.06,0.51,494,30
94,33,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",195.88,446.07,0.56,244,24
95,67,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,224.29,424.9,0.47,343,10
96,90,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,65.77,132.98,0.51,355,0
97,8,Barbie Dreamhouse,Toys,Fun and creative toys that inspire imagination and endless hours of play.,217.12,257.94,0.16,317,30
98,50,Levi's Jeans,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,148.98,287.74,0.48,393,0
99,57,Bose QC45,Headphones,Premium noise-cancelling headphones with crystal-clear sound and long-lasting comfort.,30.65,42.09,0.27,204,31
100,9,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,254.66,277.0,0.08,77,25
101,73,Barbie Dreamhouse,Toys,Fun and creative toys that inspire imagination and endless hours of play.,9.25,15.16,0.39,65,0
102,44,Nerf Blaster,Toys,Fun and creative toys that inspire imagination and endless hours of play.,167.62,246.17,0.32,482,12
103,88,Lenovo ThinkPad,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,212.87,452.57,0.53,364,0
104,40,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",56.88,82.03,0.31,94,38
105,17,Adidas Ultraboost,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,68.36,93.87,0.27,233,0
106,35,HP Spectre,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,140.22,206.75,0.32,487,8
107,76,Apple Watch Series 8,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,126.89,249.71,0.49,242,39
108,20,Philips Airfryer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,249.76,397.61,0.37,69,0
109,50,Fossil Gen 6,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,269.07,329.05,0.18,99,0
110,34,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,240.95,444.44,0.46,334,0
111,39,MacBook Pro,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,199.36,334.53,0.4,373,0
112,78,Zara Jacket,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,274.57,401.31,0.32,408,25
113,25,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,88.23,151.03,0.42,423,0
114,98,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,282.63,448.81,0.37,68,0
115,6,The Great Gatsby,Books,An engaging and thought-provoking book that will captivate readers of all ages.,27.99,47.04,0.4,211,0
116,79,Adidas Ultraboost,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,44.06,74.01,0.4,365,39
117,54,Wayfair Bed Frame,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,96.54,202.91,0.52,110,43
118,71,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,228.7,443.25,0.48,481,27
119,21,Puma RS-X,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,91.46,206.41,0.56,357,18
120,18,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,227.06,253.09,0.1,348,0
121,50,West Elm Chair,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,110.04,168.45,0.35,233,0
122,47,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,407.67,452.02,0.1,192,0
123,22,Garmin Fenix 7,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,138.93,260.34,0.47,400,0
124,32,KitchenAid Mixer,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,197.58,330.29,0.4,355,32
125,9,Fossil Gen 6,Watches,A stylish smartwatch with advanced health tracking and customizable watch faces.,183.1,210.49,0.13,30,0
126,6,Instant Pot,Kitchen Appliances,Essential kitchen appliance to simplify your cooking and save time.,274.87,431.85,0.36,211,39
127,98,The Great Gatsby,Books,An engaging and thought-provoking book that will captivate readers of all ages.,239.29,448.62,0.47,213,0
128,3,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,245.09,293.07,0.16,7,0
129,92,LEGO Star Wars,Toys,Fun and creative toys that inspire imagination and endless hours of play.,421.7,454.02,0.07,397,35
130,22,Galaxy S21,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",237.88,340.27,0.3,421,13
131,83,Nerf Blaster,Toys,Fun and creative toys that inspire imagination and endless hours of play.,280.24,374.37,0.25,244,16
132,70,Ashley Dining Table,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,250.61,485.01,0.48,482,0
133,89,iPhone 14,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",50.96,107.04,0.52,369,37
134,39,Nike Air Max,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,69.85,85.67,0.18,450,28
135,35,H&M T-Shirt,Clothing,Trendy and high-quality clothing that combines style and comfort for any occasion.,40.6,50.69,0.2,180,7
136,24,Adidas Ultraboost,Shoes,Durable and comfortable shoes designed for both sports and casual wear.,302.87,328.48,0.08,60,0
137,93,Hot Wheels Track,Toys,Fun and creative toys that inspire imagination and endless hours of play.,176.58,235.8,0.25,331,0
138,31,To Kill a Mockingbird,Books,An engaging and thought-provoking book that will captivate readers of all ages.,98.78,178.71,0.45,253,0
139,82,HP Spectre,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,323.36,385.35,0.16,266,0
140,21,Pixel 7,Smartphones,"A high-performance smartphone with cutting-edge features, perfect for staying connected and productive.",142.3,226.44,0.37,126,0
141,34,HP Spectre,Laptops,A sleek and powerful laptop designed for professionals and gamers alike.,439.98,476.7,0.08,431,19
142,30,The Great Gatsby,Books,An engaging and thought-provoking book that will captivate readers of all ages.,56.87,75.53,0.25,144,16
143,25,Ikea Sofa,Furniture,Modern and elegant furniture to enhance the look and feel of your home.,132.01,208.21,0.37,111,0
