flash_sale_id,name,start_time,end_time
1,New Year Mega Deals,2025-01-01 09:00:00,2025-01-01 21:00:00
2,Top 10 Home Items,2025-02-02 09:00:00,2025-02-02 21:00:00
3,Beauty Bonanza,2025-03-03 09:00:00,2025-03-03 21:00:00
4,Toy Fest,2025-04-04 09:00:00,2025-04-04 21:00:00
5,Bestselling Books,2025-05-05 09:00:00,2025-05-05 21:00:00
6,Fashion Flash,2025-06-06 09:00:00,2025-06-06 21:00:00
7,Sports & Fitness Sale,2025-07-07 09:00:00,2025-07-07 21:00:00
8,Grocery Essentials,2025-08-08 09:00:00,2025-08-08 21:00:00
9,Pet Care Picks,2025-09-09 09:00:00,2025-09-09 21:00:00
10,Garden & Outdoor Deals,2025-10-10 09:00:00,2025-10-10 21:00:00
